customer_id,first_name,last_name,email,phone,country,signup_date
75,John,Wallace,karen73@example.net,847.835.9774,Central African Republic,2025-07-03
76,Laurie,Taylor,brett75@example.net,481-841-2478,Bermuda,2025-10-05
77,Jeffrey,Hayes,sarah60@example.com,653.961.5305x15220,Qatar,2025-07-13
78,Katherine,Harrison,bullockandrew@example.org,(389)286-1434,Dominican Republic,2024-09-15
79,Laura,Bryant,copelandvincent@example.net,7895324609,Montserrat,2024-09-13
80,Elizabeth,Miller,carlos88@example.net,380.767.0654x05153,Burkina Faso,2023-12-16
81,Amy,Li,mariacohen@example.net,822.917.0430x3054,El Salvador,2023-12-10
82,Deborah,Mitchell,glennmartin@example.org,(366)876-5277x584,Belgium,2024-09-23
83,Wanda,White,manuel15@example.net,647-296-2757x0596,Belarus,2025-03-18
84,Richard,Palmer,stephaniethomas@example.net,+1-770-721-3556x90927,Kenya,2025-05-24
85,Audrey,Moreno,redwards@example.org,602-978-6814,Croatia,2025-11-11
86,Justin,Hendricks,igonzalez@example.org,427.715.5188x442,Malawi,2024-04-25
87,Tracie,Conner,kristyjohnson@example.net,001-857-982-9114,Malta,2024-09-09
88,Robert,Andrews,teresaday@example.com,485.628.9226x801,Chad,2024-03-11
89,Sarah,Perez,meghan43@example.net,+1-442-449-8182,Palestinian Territory,2025-02-12
90,Rachel,Morgan,bryananthony@example.org,+1-594-839-6907x8447,French Southern Territories,2024-10-10
91,Haley,Moore,nwashington@example.com,+1-525-955-6258x815,British Virgin Islands,2024-05-27
92,John,Davis,sonia96@example.org,(959)653-2787,Luxembourg,2023-11-30
93,Sierra,Wagner,jasongomez@example.org,779-274-8016x2456,Iran,2023-12-21
94,Anna,Cox,charles87@example.net,599-812-1655x852,Macao,2023-12-13
95,Benjamin,Reeves,jstone@example.net,925.695.2694x95888,Lebanon,2025-07-02
96,Micheal,Nunez,ysilva@example.net,001-809-474-9930x972,Swaziland,2025-03-25
97,Anthony,Vaughan,leescott@example.com,(563)768-9702,Panama,2024-10-28
98,Nicholas,Frye,vbarr@example.net,(549)973-3484x344,Ghana,2024-10-29
99,Ann,Michael,keith98@example.com,(652)640-4157x4733,Burundi,2024-02-01
100,Joyce,Allen,santiagoamanda@example.net,401.865.7120,Palau,2025-09-27
101,Natalie,Woods,katelynmitchell@example.com,+1-401-693-8026x2067,Turkey,2023-12-11
102,Kenneth,Morrison,justin88@example.com,(687)443-1527,American Samoa,2025-05-05
103,Krystal,Bradley,gregorychase@example.com,(585)916-1227x53046,Sao Tome and Principe,2024-05-27
104,Mark,Aguilar,greenmichael@example.org,6177426841,Nicaragua,2024-04-23
105,Susan,Mendoza,madkins@example.com,(387)283-3918x78519,Switzerland,2024-12-18
106,William,Armstrong,franklinbond@example.com,439-871-8707,Korea,2024-12-30
107,Angelica,Chambers,jennifer64@example.org,001-639-810-6518x0170,Cocos (Keeling) Islands,2025-05-29
108,Katie,Good,ybrooks@example.com,(261)282-5128x6823,French Southern Territories,2024-10-17
109,Jennifer,Coleman,pmorrow@example.com,(324)231-0690x331,Kiribati,2025-01-23
110,Jacqueline,Williams,moralesjimmy@example.org,001-502-884-3959x95342,French Southern Territories,2024-06-02
111,Angela,Vargas,conniesimmons@example.com,8564856624,Saudi Arabia,2024-12-11
112,John,Perez,lindamelendez@example.net,(568)282-6343x51751,Ethiopia,2024-08-15
113,Cassidy,Williams,lopezkathleen@example.net,+1-583-873-5403x31739,United States Virgin Islands,2024-05-06
114,Marc,Campbell,wferguson@example.com,258-577-1753x556,Saint Vincent and the Grenadines,2024-02-28
115,Jose,Donovan,mphillips@example.com,969.937.8547,Chile,2025-05-02
116,Michael,Taylor,iwhite@example.net,3804100623,Algeria,2024-04-21
117,Stephen,Brown,bhopkins@example.org,+1-286-800-8484,Sri Lanka,2025-09-30
118,Harry,Hull,johnharvey@example.com,(246)315-6793x341,Iraq,2024-08-17
119,Angela,Brown,warnerchristopher@example.com,+1-659-218-0339x7401,Christmas Island,2025-09-22
120,Leonard,Ali,karenmarquez@example.com,842-493-9685,Somalia,2025-11-05
